 ***Theta   Eprime   Sig_Born   Sig_Rad
   20.6125   3.0595   5.2377   5.6581
   20.6125   3.0685   5.2161   5.6276
   20.6125   3.0775   5.1946   5.5974
   20.6125   3.0865   5.1730   5.5663
   20.6125   3.0955   5.1515   5.5363
   20.6125   3.1045   5.1300   5.5064
   20.6125   3.1135   5.1085   5.4764
   20.6125   3.1225   5.0871   5.4465
   20.6125   3.1315   5.0656   5.4166
   20.6125   3.1405   5.0442   5.3871
   20.6125   3.1495   5.0228   5.3577
   20.6125   3.1585   5.0014   5.3283
   20.6125   3.1675   4.9800   5.2991
   20.6125   3.1765   4.9586   5.2698
   20.6125   3.1855   4.9372   5.2411
   20.6125   3.1945   4.9159   5.2121
   20.6125   3.2035   4.8946   5.1826
   20.6125   3.2125   4.8732   5.1543
   20.6125   3.2215   4.8519   5.1257
   20.6125   3.2305   4.8306   5.0972
   20.6125   3.2395   4.8093   5.0688
   21.1125   2.9605   4.8177   5.2297
   21.1125   2.9695   4.7969   5.2003
   21.1125   2.9785   4.7761   5.1711
   21.1125   2.9875   4.7553   5.1418
   21.1125   2.9965   4.7345   5.1127
   21.1125   3.0055   4.7138   5.0838
   21.1125   3.0145   4.6931   5.0541
   21.1125   3.0235   4.6724   5.0254
   21.1125   3.0325   4.6518   4.9969
   21.1125   3.0415   4.6311   4.9682
   21.1125   3.0505   4.6105   4.9398
   21.1125   3.0595   4.5899   4.9113
   21.1125   3.0685   4.5693   4.8831
   21.1125   3.0775   4.5488   4.8551
   21.1125   3.0865   4.5282   4.8270
   21.1125   3.0955   4.5077   4.7989
   21.1125   3.1045   4.4872   4.7714
   21.1125   3.1135   4.4667   4.7439
   21.1125   3.1225   4.4462   4.7161
   21.1125   3.1315   4.4258   4.6886
   21.1125   3.1405   4.4053   4.6613
   21.1125   3.1495   4.3849   4.6341
   21.1125   3.1585   4.3645   4.6070
   21.1125   3.1675   4.3441   4.5799
   21.1125   3.1765   4.3238   4.5527
   21.1125   3.1855   4.3034   4.5260
   21.1125   3.1945   4.2831   4.4993
   21.1125   3.2035   4.2628   4.4726
   21.1125   3.2125   4.2425   4.4459
   21.1125   3.2215   4.2222   4.4194
   21.1125   3.2305   4.2019   4.3929
   21.1125   3.2395   4.1816   4.3665
