nrun  S2L1    S2L2    S2L3    S2L4    S2L5    S2L6    S2L7    S2L8    S2L9    S2L10   S2L11   S2L12   S2L13   S2L14   S2L15  S2L16
1431  0.10  0.22  0.26  0.32  0.31  0.02  0.47  0.28  0.37  0.29  0.14  0.48  -0.19  0.57  0.50  0.14  
1432  0.29  0.26  0.42  0.46  0.28  0.25  0.28  0.24  0.18  0.06  0.00  0.41  -0.04  0.17  0.32  0.05  
1433  0.35  0.33  0.16  0.42  0.24  0.12  0.11  0.29  0.30  0.45  0.13  0.43  -0.09  0.68  0.30  0.13  
1434  0.29  0.39  0.18  0.32  0.27  -0.10  0.28  0.52  0.38  0.50  0.24  0.62  0.13  0.46  0.30  0.21  
1435  0.20  0.30  0.30  0.19  0.23  0.18  0.20  0.42  0.33  0.60  0.22  0.42  -0.03  0.36  0.28  0.05  
1436  0.29  0.19  0.15  0.51  0.52  0.20  0.20  0.30  0.30  0.47  0.08  0.46  -0.11  0.57  0.39  0.11  
1437  0.38  0.21  0.33  0.39  0.27  -0.00  0.43  0.26  0.36  0.33  0.08  0.49  -0.15  0.39  0.36  0.10  
1438  0.30  0.22  0.24  0.20  0.13  0.05  0.20  0.40  0.41  0.40  0.23  0.44  -0.18  0.66  0.33  0.12  
1439  0.07  0.25  0.13  0.43  0.10  0.14  0.57  0.38  0.39  0.52  0.24  0.42  0.01  0.46  0.31  0.09  
1440  0.14  0.14  0.22  0.31  0.11  -0.03  0.43  0.38  0.34  0.45  0.16  0.41  -0.00  0.28  0.32  0.26  
1441  0.27  0.45  0.24  0.25  0.15  0.12  0.12  0.31  0.34  0.44  0.03  0.58  -0.12  0.57  0.34  0.15  
1450  0.19  0.26  0.12  0.26  0.28  0.06  0.31  0.28  0.44  0.46  0.05  0.43  -0.22  0.48  0.53  0.10  
1451  0.28  0.35  0.40  0.39  0.30  0.14  0.23  0.36  0.39  0.67  0.33  0.49  0.14  0.28  0.20  0.17  
1452  0.14  0.39  -0.10  0.47  0.13  -0.20  0.29  0.45  0.35  0.27  -0.09  0.53  -0.08  0.90  0.44  0.05  
1453  0.30  0.07  0.36  0.38  0.05  0.24  0.41  0.55  0.44  0.30  0.24  0.38  0.09  0.24  0.34  0.22  
1454  0.15  0.27  0.33  0.14  0.25  -0.21  0.31  0.62  0.46  0.42  0.24  0.55  -0.09  0.72  0.56  0.15  
1455  0.15  0.24  0.12  0.35  0.28  -0.03  0.15  0.41  0.37  0.41  0.46  0.44  -0.06  0.47  0.22  0.16  
1456  0.20  0.39  0.27  0.27  0.44  0.04  0.38  0.34  0.60  0.41  0.14  0.62  -0.07  0.24  0.25  0.09  
1457  0.14  0.40  0.17  0.39  0.31  -0.02  0.36  0.24  0.34  0.66  0.13  0.53  0.04  0.36  0.41  0.20  
1458  0.13  0.15  0.36  0.49  0.28  0.13  0.23  0.57  0.41  0.45  0.09  0.59  -0.05  0.40  0.37  0.05  
1459  0.26  0.26  0.35  0.44  0.24  0.12  0.16  0.27  0.25  0.57  -0.04  0.42  0.04  0.52  0.27  0.03  
1460  0.12  0.23  0.27  0.19  0.22  0.10  0.23  0.29  0.41  0.48  0.19  0.55  -0.05  0.52  0.21  0.11  
1461  0.26  0.24  0.11  0.32  0.30  0.15  0.29  0.31  0.43  0.47  0.08  0.53  -0.07  0.41  0.35  0.29  
1462  0.55  0.27  0.25  0.32  0.20  0.08  0.44  0.38  0.32  0.17  0.11  0.65  0.05  0.36  0.26  0.26  
1463  0.36  0.30  0.30  0.21  0.13  0.03  0.33  0.41  0.51  0.32  0.07  0.61  -0.02  0.52  0.24  0.15  
1464  0.38  0.19  0.40  0.46  0.61  0.15  0.01  0.34  0.32  0.40  0.32  0.62  -0.16  0.32  0.45  0.05  
1465  0.19  0.38  0.29  0.22  0.20  0.03  0.13  0.28  0.32  0.50  0.09  0.53  -0.02  0.35  0.27  0.16  
