nrun  S2L1    S2L2    S2L3    S2L4    S2L5    S2L6    S2L7    S2L8    S2L9    S2L10   S2L11   S2L12   S2L13   S2L14   S2L15   S2L16   flag
1348  290.91  291.69  289.92  295.35  295.65  294.27  299.78  293.30  305.86  295.07  294.12  296.10  293.37  293.86  290.88  300.60  0
1350  288.56  287.85  285.01  288.86  288.08  286.76  292.27  295.93  299.35  290.19  290.79  293.05  289.77  291.82  289.61  297.01  0
1351  287.97  287.83  285.30  289.87  286.49  287.36  292.96  298.21  298.95  291.26  290.00  293.80  289.67  291.93  289.83  295.95  0
1352  293.09  288.72  286.17  290.24  289.60  288.89  294.34  302.51  300.72  293.40  290.54  295.34  292.70  292.80  289.11  297.97  0
1353  289.94  288.23  284.26  289.95  289.59  288.84  294.30  299.87  301.61  291.99  291.45  294.69  291.88  292.65  288.48  291.21  0
1354  290.76  291.44  290.49  295.53  295.49  293.76  300.49  302.51  305.96  294.59  295.46  296.12  293.03  293.33  289.95  295.26  0
1355  294.22  292.46  290.10  295.91  296.21  293.50  298.30  302.86  306.02  294.69  294.19  296.54  292.88  294.40  291.12  298.55  0
1356  290.59  287.59  285.31  289.72  289.86  288.30  294.08  294.78  301.20  291.68  290.99  294.93  290.90  291.40  290.74  298.20  0
1357  290.17  287.65  284.15  290.17  289.64  289.34  294.79  296.15  301.93  292.35  292.08  294.46  291.31  293.87  289.84  297.86  0
1358  292.49  292.07  289.98  294.39  295.61  293.37  299.63  302.89  306.11  294.75  295.16  296.22  292.60  293.29  290.59  298.56  0
1359  292.76  291.06  289.90  295.06  296.44  293.91  299.20  302.47  306.66  294.47  294.21  296.43  292.43  293.89  290.37  297.42  0
1360  289.20  288.91  285.60  291.37  291.96  291.71  295.87  299.79  305.00  295.40  293.98  296.01  293.92  293.71  291.25  294.15  0
1362  281.83  279.64  274.86  286.26  286.43  288.40  294.76  296.78  303.93  293.39  292.76  295.87  291.76  292.02  290.75  300.21  0
1363  301.46  291.30  287.79  293.02  292.53  289.75  294.87  299.85  302.45  290.22  290.05  293.32  290.75  290.08  286.77  294.08  0
1364  302.14  298.45  290.98  298.00  291.60  291.78  296.13  297.84  298.02  293.63  288.84  293.07  289.91  293.15  292.42  278.40  0
1366  301.49  289.70  280.68  290.20  290.00  290.30  296.75  297.26  306.23  294.60  294.53  296.77  293.32  296.54  289.05  293.35  0
1367  294.76  287.07  284.03  290.21  289.26  288.84  294.65  300.28  302.39  292.45  291.98  296.42  293.58  292.92  289.47  291.74  0
1368  292.78  285.60  278.49  290.44  290.46  289.09  295.22  294.30  303.86  291.85  292.99  295.69  292.15  293.43  289.02  287.74  0
1369  295.41  289.33  286.20  294.53  294.27  294.01  298.94  300.57  305.91  295.79  294.96  297.85  293.83  294.45  289.10  295.36  0
1370  293.23  289.26  285.71  293.20  296.39  293.41  300.09  308.66  306.20  294.39  295.07  297.93  294.73  294.02  289.54  294.68  0
1371  290.85  289.50  284.54  289.62  288.44  288.16  292.76  296.37  300.50  291.75  289.93  293.84  292.93  290.74  289.86  293.51  0
1372  292.13  285.10  282.03  288.72  287.25  288.14  292.20  297.28  303.21  289.94  290.46  294.87  293.25  291.93  288.23  288.33  0
1373  288.24  292.29  281.89  289.98  288.95  289.21  294.77  297.02  302.40  292.10  290.95  295.84  293.04  294.16  288.26  300.70  0
1374  296.76  287.83  281.87  289.75  290.68  289.68  295.78  293.65  302.05  294.00  290.43  295.25  293.31  295.05  291.81  284.33  0
