nrun   cer1   cer2   cer3   cer4   cer5   cer6  cer7   cer8   cer9   cer10
90975  -0.36  0.36  0.00  0.15  0.51  0.49  -0.41  -0.06  -0.48  -0.34  
90976  -0.20  0.14  0.10  0.03  0.13  0.24  -0.30  -0.08  -0.05  -0.35  
90977  -0.26  0.52  0.28  0.03  -0.06  0.48  -0.56  0.03  0.03  -0.65  
90979  -0.21  0.03  0.54  -0.04  0.27  0.28  -0.73  0.38  -0.47  -0.43  
90981  -0.01  0.55  0.56  -0.06  0.30  0.68  -0.40  -0.03  -0.16  -0.28  
90982  -0.17  0.12  0.42  -0.01  0.18  0.39  -0.48  -0.26  -0.32  -0.38  
90983  -0.19  0.38  0.05  -0.33  0.24  0.32  -0.40  0.05  -0.23  -0.32  
90984  0.02  0.20  0.17  -0.25  -0.13  0.13  -0.43  -0.20  -0.39  -0.68  
90985  -0.35  0.11  -0.03  0.04  0.05  0.68  -0.41  -0.11  -0.07  -0.63  
90988  0.03  0.58  0.13  -0.04  0.28  0.35  -0.32  0.04  -0.08  -0.54  
90989  -0.32  0.08  0.24  -0.65  0.38  0.56  -0.42  -0.40  -0.39  -0.64  
90990  0.16  0.31  0.23  -0.08  -0.04  0.51  -0.52  -0.02  -0.45  -0.37  
90991  0.03  0.15  0.38  -0.50  0.06  0.18  -0.37  0.17  -0.30  -0.51  
90992  0.09  0.30  0.13  -0.18  0.01  0.25  -0.55  0.03  -0.25  -0.35  
90993  -0.25  0.40  0.35  -0.05  0.27  0.44  -0.29  -0.08  -0.17  -0.69  
90995  -0.19  0.07  0.09  -0.49  0.13  0.10  -0.42  0.33  -0.46  -0.36  
90998  0.17  0.07  0.15  0.19  -0.06  -0.10  -0.17  -0.23  0.03  -0.39  
90999  -0.18  0.24  0.16  0.11  0.28  0.52  -0.46  -0.08  -0.36  -0.66  
91000  -0.40  0.16  -0.05  -0.47  0.13  0.19  -0.58  0.15  -0.18  -0.54  
91001  0.05  -0.10  0.47  -0.25  0.37  0.24  -0.62  -0.16  -0.25  -0.65  
91002  -0.26  0.59  -0.03  -0.31  0.19  0.36  -0.54  -0.07  -0.28  -0.54  
91003  -0.11  0.44  0.32  0.25  0.04  0.04  -0.80  -0.01  -0.64  -0.50  
91004  -0.38  0.39  0.12  -0.33  0.41  0.10  -0.29  0.16  -0.60  -0.45  
91005  0.02  0.24  0.26  0.34  0.02  0.34  -0.72  -0.08  -0.40  -0.37  
91006  0.27  0.33  0.17  -0.26  -0.03  0.33  -0.65  0.06  -0.12  -0.92  
91007  0.11  0.28  0.31  -0.20  0.42  0.52  -0.37  0.20  -0.28  -0.22  
91008  -0.31  0.25  0.51  -0.34  0.10  0.03  -0.36  -0.13  -0.41  -0.49  
91009  -0.04  0.75  0.46  0.37  -0.06  0.49  -0.60  -0.34  -0.70  -0.78  
91010  -0.15  0.31  0.31  0.10  0.41  0.31  -0.43  -0.02  -0.54  -0.45  
91011  -0.18  0.07  0.16  0.14  0.16  0.15  -0.51  -0.29  -0.65  -0.32  
91012  -0.34  0.22  0.23  0.14  0.42  0.29  -0.43  -0.01  -0.23  -0.61  
91013  -0.15  0.32  0.22  0.11  0.16  0.82  -0.57  0.12  -0.34  -0.95  
91014  -0.01  -0.21  0.11  -0.22  0.30  0.42  -0.44  0.17  -0.25  -0.75  
91015  -0.24  0.14  0.11  0.14  0.30  0.33  -0.20  0.19  -0.78  -0.32  
91017  -0.31  0.27  0.24  0.07  0.37  0.65  -0.37  -0.33  -0.40  -0.18  
91018  -0.23  0.31  0.15  -0.25  0.36  0.30  -0.64  -0.28  -0.40  -0.49  
91019  -0.50  0.25  0.03  0.31  0.27  0.50  -0.17  -0.26  -0.32  -0.68  
91021  -0.63  0.34  0.33  -0.09  0.38  0.35  -0.29  -0.66  -0.29  -1.06  
91025  -0.34  -0.06  0.23  0.08  -0.15  0.35  -0.33  -0.31  -0.53  -0.27  
91026  -0.30  0.32  0.50  -0.15  0.13  0.37  -0.41  0.08  -0.25  -0.26  
91027  0.10  0.18  0.37  -0.26  -0.16  0.29  -0.93  -0.18  -0.26  -0.38  
91028  -0.11  0.21  0.33  -0.12  0.15  0.35  -0.50  -0.02  -0.14  -0.48  
91029  -0.35  0.36  0.26  -0.05  0.08  0.42  -0.51  0.01  -0.15  -0.39  
91030  -0.43  0.35  -0.22  -0.50  0.36  0.25  -0.47  -0.38  -0.32  -0.41  
91031  -0.16  0.28  0.28  -0.21  0.00  0.31  -0.10  -0.13  -0.40  -0.40  
91032  0.09  0.40  0.32  -0.13  -0.07  0.91  -0.14  0.05  -0.06  -0.40  
91033  -0.26  -0.20  0.24  -0.11  0.02  0.23  -0.54  -0.09  -0.01  -0.44  
91034  -0.12  -0.03  -0.03  -0.17  -0.01  0.43  -0.27  0.03  -0.19  -0.50  
91035  -0.12  0.48  0.43  -0.43  0.11  0.35  -0.67  -0.18  -0.30  -0.38  
91036  0.19  0.45  0.28  -0.06  0.24  0.43  -0.35  -0.23  -0.20  -0.42  
91037  -0.06  0.16  -0.03  -0.58  -0.05  0.20  -0.48  -0.06  -0.10  -0.49  
91038  -0.13  0.26  0.24  -0.61  0.08  0.74  -0.42  0.06  -0.16  -0.92  
91039  -0.05  0.30  0.17  -0.11  -0.03  0.15  -0.53  -0.16  -0.46  0.07  
91042  0.12  0.37  0.33  -0.49  0.32  0.21  -0.50  0.05  -0.08  -0.67  
91043  -0.23  0.07  0.29  -0.24  0.02  0.18  -0.36  0.16  -0.37  -0.66  
91056  -0.26  0.15  0.21  -0.03  0.16  0.39  -0.41  -0.06  -0.32  -0.29  
91058  -0.14  0.62  0.30  -0.12  0.01  0.66  -0.60  0.64  -0.50  -0.21  
91059  -0.41  0.63  0.23  -0.04  0.15  0.48  -0.38  -0.35  -0.39  -0.37  
