nrun   s0l     s0r     flag
91270  874.27  876.47  0
91271  875.21  908.45  0
91275  908.23  873.52  0
91277  920.95  902.34  0
91278  914.99  949.12  0
91279  913.40  859.76  0
91280  879.23  909.02  0
91283  896.12  878.62  0
91284  868.96  863.35  0
91285  888.95  858.44  0
91286  878.89  894.93  0
91287  890.73  844.53  0
91288  883.44  885.11  0
91289  892.92  881.79  0
91290  893.73  831.05  0
91291  861.76  859.46  0
91292  875.00  875.15  0
91293  865.31  859.43  0
91294  887.16  843.12  0
91295  913.57  845.07  0
91296  865.26  850.06  0
91297  886.06  881.54  0
91298  867.86  867.09  0
91299  883.54  850.07  0
91300  880.71  883.03  0
91302  887.70  863.41  0
91303  885.02  860.70  0
91304  864.08  884.18  0
91305  881.32  864.54  0
91306  895.29  860.96  0
91307  876.91  874.51  0
91308  865.94  858.30  0
91309  888.07  860.91  0
91310  896.36  849.93  0
91311  908.20  831.77  0
91313  861.69  871.15  0
91314  868.72  874.09  0
91315  891.78  892.25  0
91316  873.71  852.82  0
91317  875.37  862.71  0
91318  881.34  863.29  0
91319  889.23  862.34  0
91320  874.77  861.00  0
91321  878.51  867.57  0
91322  891.52  878.06  0
91323  879.74  864.90  0
91324  889.29  868.39  0
91325  869.78  886.32  0
91326  878.70  904.37  0
91327  859.52  907.54  0
91328  864.52  921.38  0
91330  912.93  892.23  0
91331  895.10  854.46  0
91332  888.73  837.94  0
91333  871.04  684.92  1
91334  868.15  840.06  0
91335  865.20  834.96  0
91338  898.35  885.91  0
91341  869.62  829.07  0
91342  886.28  855.76  0
91343  878.87  864.01  0
91344  894.79  851.97  0
91345  897.70  863.15  0
91346  908.42  861.63  0
91347  896.79  850.14  0
91348  869.34  845.93  0
91355  871.18  842.36  0
91356  887.50  877.51  0
91357  881.41  859.01  0
91358  877.40  853.29  0
91359  866.57  876.84  0
91360  882.27  902.75  0
91361  868.34  872.82  0
91362  884.96  848.26  0
91363  872.26  854.76  0
91364  880.73  869.68  0
91365  866.25  879.31  0
91366  880.34  864.12  0
91367  891.06  898.40  0
91368  859.60  872.17  0
91369  879.59  881.20  0
91370  885.50  870.75  0
91371  875.72  876.21  0
91372  862.49  836.87  0
91373  878.78  833.62  0
91374  869.46  865.99  0
91375  885.27  868.32  0
91376  864.78  866.64  0
91377  863.05  848.06  0
91379  846.32  848.31  0
91380  870.76  874.08  0
91381  874.69  872.31  0
91382  887.84  860.51  0
91383  866.67  866.75  0
91384  883.11  863.44  0
91385  870.14  835.42  0
91386  873.78  874.68  0
91387  869.61  886.16  0
91388  873.06  857.64  0
91389  887.13  888.31  0
91390  869.19  681.35  1
91391  883.20  859.47  0
91392  860.06  856.02  0
91393  872.29  866.93  0
91394  886.11  844.17  0
91395  874.46  851.24  0
91396  863.32  850.09  0
91397  877.81  855.82  0
91399  854.63  865.20  0
91400  860.77  860.00  0
91401  879.55  860.38  0
91402  862.05  847.56  0
91403  858.40  872.28  0
91404  886.31  876.90  0
91405  890.21  833.35  0
91406  886.36  819.77  0
91408  870.30  674.88  1
91409  894.27  844.10  0
91410  875.70  881.94  0
91411  869.94  855.25  0
91412  882.15  839.83  0
91413  842.65  831.18  0
91414  856.62  894.37  0
91415  871.35  879.26  0
91416  854.66  852.51  0
91417  890.21  882.85  0
91418  870.21  867.35  0
91419  880.27  881.99  0
91420  873.16  855.78  0
91421  891.44  854.71  0
91422  868.22  840.51  0
91423  885.67  837.52  0
91424  884.77  843.64  0
91425  873.18  845.14  0
91426  867.85  866.83  0
91427  871.20  844.29  0
91428  844.88  876.15  0
91429  873.78  882.07  0
91430  868.75  848.92  0
91431  854.62  883.56  0
91432  860.15  860.37  0
91433  852.76  857.62  0
91434  863.43  830.51  0
91435  860.42  822.32  0
91436  859.66  881.94  0
91437  863.11  841.58  0
91438  860.85  846.68  0
91439  868.16  856.61  0
91440  879.44  862.55  0
91441  874.17  859.10  0
91442  863.21  890.97  0
91443  882.28  886.31  0
91444  848.24  859.01  0
91445  864.80  860.78  0
91446  893.22  855.00  0
91447  886.36  883.03  0
91448  872.53  861.47  0
91449  876.43  891.88  0
91450  877.89  866.93  0
91451  871.94  902.82  0
91452  859.71  870.13  0
91453  879.18  866.14  0
91454  881.93  867.90  0
91455  874.71  886.03  0
91456  879.88  845.94  0
91457  899.82  880.71  0
91458  856.41  836.10  0
91459  878.18  853.45  0
91460  860.16  865.98  0
91461  857.00  834.58  0
91462  876.05  881.98  0
91463  889.70  880.24  0
91467  872.47  825.73  0
91468  875.43  850.23  0
91469  864.86  852.15  0
91470  875.06  851.33  0
91471  860.15  625.29  1
91472  885.41  849.19  0
91473  869.30  859.80  0
91474  868.01  859.35  0
91475  858.54  853.75  0
91476  889.81  860.71  0
91477  873.47  858.78  0
91478  879.59  846.80  0
91479  854.50  863.14  0
91480  866.44  841.98  0
91481  874.31  847.02  0
91482  857.31  840.39  0
91483  860.23  861.59  0
91484  882.32  866.05  0
91485  872.71  840.98  0
91486  881.64  965.46  0
91487  874.98  846.17  0
91488  872.62  866.12  0
91489  861.45  866.12  0
91490  882.57  854.64  0
91491  874.86  846.55  0
91492  868.77  841.71  0
91493  851.14  832.76  0
91494  867.04  851.15  0
91495  853.43  828.98  0
91496  894.31  849.45  0
91497  869.58  836.49  0
91498  860.05  848.87  0
91499  863.90  847.56  0
91500  883.49  862.64  0
91501  880.23  845.42  0
91502  860.81  845.24  0
91503  857.10  863.50  0
91504  862.20  867.49  0
91505  857.42  859.09  0
91507  857.00  843.49  0
91508  895.86  860.03  0
91509  877.47  839.80  0
91510  875.95  846.25  0
91511  858.46  826.08  0
91512  857.95  864.62  0
91513  873.84  865.11  0
91514  865.71  845.12  0
91515  867.78  848.88  0
91516  877.11  885.04  0
91517  882.66  851.90  0
91518  876.86  849.93  0
91519  888.09  884.10  0
91520  886.50  882.71  0
91521  865.29  879.46  0
91522  862.49  829.15  0
91523  873.11  854.33  0
91524  879.38  875.85  0
91525  880.51  830.58  0
91526  865.19  847.90  0
91527  882.33  873.19  0
91531  897.35  860.61  0
91532  850.91  856.71  0
91533  874.81  883.60  0
91534  883.84  857.17  0
91535  866.88  856.35  0
91536  869.17  843.27  0
91537  886.65  851.43  0
91538  865.46  836.07  0
91539  859.61  860.30  0
91540  876.46  590.01  1
91541  882.62  857.70  0
91542  869.93  862.60  0
91543  869.06  895.64  0
91544  861.59  842.91  0
91546  855.03  847.11  0
91547  876.03  827.33  0
91548  868.86  842.74  0
91549  855.98  841.08  0
91550  879.90  831.12  0
91551  876.24  851.41  0
91552  868.77  862.08  0
91554  867.01  853.23  0
91555  861.30  868.41  0
91556  872.04  856.67  0
91557  893.37  843.97  0
91558  884.24  854.37  0
91559  877.72  861.47  0
91561  880.08  838.28  0
91562  860.30  862.20  0
91563  880.62  842.44  0
91564  855.16  862.76  0
91565  882.68  857.46  0
91566  881.19  855.92  0
91567  865.90  829.84  0
91568  880.80  859.56  0
91569  868.66  868.34  0
91570  868.36  825.63  0
91571  888.63  875.80  0
91572  869.89  855.12  0
91573  892.75  877.18  0
91574  887.93  830.53  0
91575  860.59  855.73  0
91576  881.28  851.58  0
91577  852.88  832.02  0
91578  866.49  871.11  0
91579  882.09  851.11  0
91590  852.38  779.67  0
91591  894.17  834.42  0
91593  880.10  834.48  0
91594  886.36  827.27  0
91595  882.78  825.78  0
91596  882.75  826.58  0
91601  872.32  831.93  0
91602  867.78  797.89  0
91603  846.82  802.34  0
91604  899.58  810.43  0
91605  884.44  -2621.90  1
