nrun  s0l   s0r
2673  0.49  1.50  
2675  0.51  1.05  
2676  0.54  0.76  
2677  0.60  1.20  
2678  0.24  1.32  
2679  0.29  1.08  
2680  0.23  1.38  
2681  0.54  1.05  
2682  0.19  1.15  
2683  0.55  1.52  
2684  0.09  1.55  
2685  0.21  0.98  
2686  0.47  0.89  
2687  0.76  1.38  
2688  0.78  1.28  
2690  0.54  1.03  
2691  0.13  1.03  
2692  0.41  1.37  
2694  0.55  1.06  
2696  0.20  1.31  
2697  0.09  1.04  
2698  0.59  1.16  
2699  0.22  0.92  
2700  0.41  0.79  
2701  0.86  0.90  
2703  0.18  0.04  
2704  0.68  0.90  
2705  0.63  1.19  
2706  0.31  0.89  
2707  0.74  1.55  
2708  0.40  1.24  
2709  0.37  1.22  
2710  0.41  1.16  
2711  0.35  1.15  
2713  0.12  0.17  
2714  0.25  0.17  
2716  0.15  0.08  
2719  0.47  1.02  
2720  0.62  1.15  
2721  0.35  0.97  
2722  0.49  1.36  
2723  0.49  1.44  
2724  0.52  1.22  
2725  0.23  0.94  
2726  0.45  1.22  
2727  0.46  1.24  
2728  0.35  1.11  
2729  0.35  0.83  
2730  0.59  0.91  
2731  0.69  1.37  
2732  0.32  1.06  
2733  0.26  1.18  
2734  0.67  1.67  
2735  0.61  1.16  
2736  0.52  0.80  
2737  0.54  1.49  
2738  0.34  1.27  
2739  0.91  1.25  
2740  0.85  1.11  
2742  0.98  1.21  
2744  0.26  0.16  
2745  0.50  1.04  
2746  0.65  1.22  
2747  0.52  0.72  
2748  0.58  0.93  
2749  0.35  0.94  
2750  1.00  1.01  
2751  0.46  0.68  
2752  1.07  0.93  
2753  0.58  1.19  
2754  0.33  1.21  
2755  0.46  1.10  
2756  0.31  1.05  
2758  0.69  1.23  
2759  0.63  1.19  
2760  0.52  1.32  
2761  0.38  0.99  
2762  0.50  1.24  
2763  0.45  1.10  
2764  0.80  0.57  
2765  0.50  0.91  
2766  0.50  0.79  
2767  0.87  1.16  
2768  0.22  1.20  
2769  0.30  0.89  
2770  0.41  1.30  
2771  0.46  1.25  
2772  0.71  1.22  
2773  -0.72  1.23  
2775  0.17  0.87  
2776  -0.16  0.79  
2778  0.15  0.54  
2779  0.21  0.91  
2781  0.23  0.95  
2782  0.21  1.08  
2783  -0.04  0.91  
2784  0.05  0.92  
2788  -0.60  0.80  
2789  0.29  0.25  
2790  0.30  0.73  
2791  -0.67  1.70  
2792  0.35  1.04  
2796  0.37  0.91  
2797  0.01  0.88  
2798  0.04  1.37  
2799  0.26  1.01  
2800  0.42  1.22  
2801  0.08  1.08  
2803  0.34  1.06  
2804  0.08  0.88  
2805  0.11  0.61  
2806  0.23  1.02  
2807  0.69  0.63  
2808  0.40  1.34  
2810  0.20  -0.00  
2811  0.32  1.02  
2812  0.11  0.60  
2813  0.39  0.77  
2814  0.18  0.90  
2815  0.45  0.86  
2816  0.05  1.34  
2818  0.00  0.99  
2819  0.46  0.80  
2820  0.11  0.76  
2821  0.31  1.04  
2822  0.21  0.79  
2823  0.25  1.24  
2824  0.02  0.96  
2825  0.05  0.81  
