90877  0.38  0.37  0.44  0.26  0.32  0.42  0.43  0.56  0.54  0.60  0.50  0.38  0.19  0.38  0.33  0.25  
90878  0.38  0.40  0.43  0.30  0.31  0.38  0.48  0.58  0.55  0.60  0.50  0.38  0.18  0.38  0.32  0.25  
90879  0.39  0.37  0.28  0.27  0.20  0.23  0.30  0.47  0.42  0.33  0.28  0.23  0.03  0.33  0.13  0.12  
90880  0.40  0.41  0.06  0.12  0.53  0.33  0.46  0.83  0.54  0.55  0.41  0.34  0.23  0.45  0.22  0.08  
90883  0.55  0.28  0.05  0.08  0.23  0.67  0.16  0.62  0.41  0.43  0.74  0.17  0.09  0.25  0.35  0.04  
90884  0.15  0.08  0.26  0.03  0.14  0.33  0.34  0.43  0.52  0.55  0.25  0.31  0.19  0.15  0.04  0.01  
90885  0.33  0.13  0.50  0.28  0.03  0.28  0.31  0.52  0.38  0.51  0.62  0.30  0.20  0.46  -0.03  0.00  
90886  0.30  0.29  0.35  0.11  0.30  0.24  0.13  0.26  0.11  0.55  0.44  0.28  0.08  0.26  0.22  0.18  
90887  0.36  0.31  0.28  0.21  0.16  0.33  0.31  0.70  0.43  0.62  0.53  0.26  0.11  0.49  0.18  0.16  
90891  0.36  0.22  0.20  0.33  0.21  0.36  0.48  0.30  0.56  0.24  0.40  0.14  -0.03  0.39  0.16  0.13  
90895  0.63  0.40  0.38  0.06  0.37  0.36  0.47  0.51  0.29  0.36  0.08  0.16  -0.02  -0.02  0.14  0.19  
90896  0.40  0.40  0.36  0.22  0.31  0.31  0.38  0.44  0.13  0.58  0.56  0.20  0.07  0.23  0.14  0.13  
90898  0.23  0.57  0.42  -0.05  0.30  0.15  0.39  0.49  0.35  0.46  0.30  0.27  0.01  0.27  0.23  0.17  
90899  0.28  0.38  0.19  0.30  0.22  0.50  0.38  0.31  0.35  0.28  0.17  0.15  -0.09  0.09  0.06  -0.06  
90900  0.40  0.41  0.04  0.20  0.11  0.39  0.18  0.45  0.31  0.63  0.18  0.23  -0.13  0.08  0.01  0.05  
90901  0.43  0.33  0.32  0.16  0.45  0.13  0.32  0.38  0.35  0.65  0.24  0.19  0.05  0.25  -0.03  0.07  
90902  0.34  0.23  -0.03  0.04  0.20  0.21  0.44  0.69  0.20  0.73  0.41  0.29  -0.01  0.43  0.05  -0.13  
90903  0.21  0.65  0.46  0.31  0.26  0.22  0.24  0.35  0.52  0.65  0.26  0.10  0.02  0.15  0.19  0.01  
90904  0.43  0.21  0.33  0.10  0.25  -0.03  0.65  0.10  0.38  0.46  0.30  0.18  0.16  0.32  0.09  0.29  
90905  0.57  0.11  0.25  0.22  0.18  0.44  0.61  0.59  0.31  0.32  0.54  0.27  -0.07  0.32  0.48  0.34  
90906  0.28  0.31  0.28  0.36  0.18  0.30  0.42  0.45  0.52  0.64  0.13  0.18  -0.21  0.31  -0.06  0.32  
90907  0.50  0.10  0.17  0.14  0.02  0.20  0.40  0.37  0.30  0.65  0.25  0.09  0.27  0.19  0.20  0.10  
90908  0.29  0.41  0.22  0.11  0.12  0.20  0.39  0.53  0.45  0.42  0.21  0.32  0.03  0.19  0.22  0.15  
90909  0.41  0.36  0.70  0.20  0.24  0.27  0.31  0.28  0.30  0.66  0.29  0.34  0.20  0.19  0.09  0.37  
90910  0.24  0.43  0.56  0.30  0.16  0.09  0.28  0.63  0.11  0.62  0.43  0.25  0.04  0.25  0.15  0.16  
90911  0.36  0.28  0.37  0.28  0.29  0.15  0.19  0.54  0.31  0.56  0.57  0.32  0.03  0.27  0.06  0.02  
90912  0.49  0.33  0.41  0.39  0.40  0.46  0.30  0.44  0.27  0.42  0.23  0.18  0.27  0.20  0.16  0.03  
90913  0.28  0.44  0.36  0.32  0.23  0.09  0.39  0.58  0.40  0.52  0.39  0.31  0.05  0.56  0.21  -0.04  
90914  0.34  0.29  0.48  0.27  0.30  0.34  0.30  0.56  0.46  0.41  0.30  0.13  0.11  0.31  0.30  0.06  
90915  0.34  0.31  0.48  0.01  0.29  0.21  0.12  0.48  0.29  0.52  0.33  0.18  0.09  0.38  0.05  0.25  
90916  0.41  0.27  0.13  0.18  0.41  0.18  0.44  0.41  0.37  0.45  0.21  0.09  0.07  0.37  0.03  0.06  
90919  0.43  0.34  0.46  0.13  0.12  0.09  0.22  0.68  0.50  0.48  0.31  0.26  0.07  0.54  0.32  0.33  
90920  0.14  -0.05  0.30  0.34  0.53  0.13  0.12  0.68  0.32  0.58  0.27  0.06  0.08  0.21  0.10  -0.01  
90921  0.30  0.64  0.42  0.21  0.33  0.51  0.43  0.63  0.36  0.55  0.51  0.30  0.15  0.20  0.28  -0.13  
90922  0.75  0.32  0.28  0.09  0.23  0.60  0.38  0.56  0.52  0.32  0.36  -0.03  0.09  0.31  0.24  0.17  
90923  0.13  0.58  0.23  0.40  0.15  0.18  0.18  0.32  0.34  0.43  0.52  0.11  0.09  0.21  0.11  0.17  
90924  0.58  0.43  0.58  0.08  0.23  0.17  0.13  0.27  0.50  0.54  0.18  0.05  0.13  0.11  0.07  0.05  
90925  0.29  0.55  0.29  0.43  0.13  0.27  0.14  0.32  0.43  0.59  0.32  0.22  0.05  0.15  0.15  0.05  
90926  0.63  0.42  0.23  0.14  0.16  0.16  0.29  0.36  0.34  0.24  0.49  0.15  0.10  0.10  0.06  0.40  
90930  0.42  0.52  0.18  0.49  0.21  0.31  0.28  0.40  0.42  0.56  0.15  0.22  -0.06  0.50  0.40  -0.07  
90931  0.39  0.44  0.46  0.32  0.25  0.17  0.29  0.41  0.27  0.38  0.61  0.18  0.07  0.37  0.24  0.11  
90932  0.31  0.63  0.33  0.08  0.31  0.02  0.07  0.36  -0.06  0.40  0.68  0.41  0.07  0.17  0.07  0.37  
90935  0.34  0.27  0.47  -0.02  0.09  0.15  0.32  0.34  0.36  0.74  0.74  0.28  0.00  0.44  0.50  -0.08  
90940  0.29  0.48  0.53  0.19  0.20  0.16  0.36  0.60  0.29  0.44  0.27  0.29  0.16  0.21  0.15  0.23  
90941  0.19  0.22  0.44  0.46  0.35  0.28  0.24  0.23  0.23  0.70  0.34  0.26  0.21  0.21  0.06  0.37  
90943  0.54  0.27  0.76  -0.15  0.30  0.28  -0.01  0.12  0.59  0.41  -0.05  0.01  -0.20  0.31  0.65  0.22  
90944  0.43  -0.03  0.43  -0.18  0.13  0.29  0.38  0.44  0.53  0.64  0.35  0.43  0.24  0.28  0.17  0.02  
90945  0.36  0.08  0.43  0.11  0.30  0.45  0.42  0.72  0.37  0.36  0.19  0.05  -0.15  0.23  0.23  0.42  
90946  0.30  0.28  0.26  0.17  -0.08  0.15  0.39  0.49  0.31  0.38  0.37  0.27  -0.08  0.20  0.17  0.13  
90947  0.49  0.20  0.47  0.20  0.16  0.28  0.41  0.49  0.43  0.41  0.15  0.27  0.03  0.20  0.25  0.15  
90948  0.38  0.25  0.48  0.26  0.31  0.10  0.48  0.30  0.31  0.51  0.38  0.24  0.12  0.19  0.14  0.09  
90949  0.25  0.35  0.42  0.27  0.19  0.40  0.17  0.53  0.48  0.67  0.37  0.18  0.03  0.17  0.28  0.13  
