nrun   s0l    s0r
91921  0.24  0.65  
91922  0.33  0.86  
91923  0.14  0.71  
91924  0.52  0.60  
91925  0.35  0.82  
91926  0.16  0.85  
91927  0.76  0.67  
91928  0.51  0.56  
91929  0.68  0.60  
91930  0.20  0.94  
91931  0.45  0.35  
91932  0.61  0.60  
91933  1.00  0.81  
91934  0.23  0.85  
91935  0.32  0.69  
91936  0.68  0.96  
91937  -0.04  0.58  
91938  0.76  0.84  
91940  0.64  0.85  
91942  -0.10  0.30  
91943  0.16  0.76  
91944  0.86  0.57  
91945  0.58  0.68  
91946  -0.22  0.57  
91947  0.38  0.79  
91948  0.38  1.00  
91949  0.67  0.66  
91950  0.19  0.18  
91951  0.52  0.48  
91952  0.17  0.84  
91953  0.47  0.90  
91954  0.55  0.93  
91956  0.47  0.78  
91957  0.39  0.73  
91958  -0.34  0.78  
91959  0.52  0.68  
91960  0.53  0.86  
91961  0.38  0.40  
91962  0.25  0.59  
91963  0.38  0.50  
91964  0.90  0.71  
91965  0.37  0.94  
91966  0.20  0.74  
91967  -0.03  0.74  
91968  0.04  0.54  
91969  0.70  0.50  
91971  1.46  0.96  
91972  0.41  0.32  
91973  0.64  0.85  
91975  0.33  0.33  
91976  0.34  0.68  
91978  -0.30  0.70  
91979  0.43  0.97  
91980  0.78  1.17  
91981  0.22  0.69  
91982  0.42  1.13  
91985  -0.25  0.23  
91986  0.28  0.94  
91988  0.70  0.95  
91990  0.38  0.71  
91991  1.10  0.51  
91992  -0.19  0.30  
91993  0.55  0.88  
91994  0.17  0.71  
91997  0.29  0.85  
91998  0.21  0.86  
91999  0.53  0.94  
92000  0.30  0.86  
92001  0.14  0.78  
92002  0.62  1.00  
92004  -0.50  0.09  
92005  0.26  0.78  
92006  0.54  0.81  
92007  0.47  0.78  
92008  0.35  0.80  
92009  0.46  0.93  
92010  0.01  0.57  
92012  0.55  0.45  
92013  0.34  0.71  
92014  0.56  0.50  
92015  0.26  0.48  
92016  0.47  0.47  
92017  0.72  0.70  
92018  -0.02  0.97  
92019  0.19  0.68  
