nrun  cer1    cer2    cer3    cer4    cer5    cer6    cer7    cer8    cer9    cer10   flag
1475  338.68  334.39  332.56  347.35  328.72  319.29  374.58  349.38  357.94  593.26  1
1476  330.75  330.03  338.22  350.47  328.20  320.82  377.88  347.20  361.49  459.37  1
1477  339.18  331.28  331.50  350.56  339.30  321.62  367.55  346.79  354.84  348.90  0
1478  339.71  336.19  340.12  350.65  328.71  322.90  376.48  342.04  359.79  377.66  0
1479  327.24  324.97  341.87  347.27  330.10  323.26  509.33  339.18  366.19  361.79  1
1482  340.44  329.14  335.69  343.01  325.14  324.09  371.23  352.51  355.19  2517.63  1
1483  326.45  329.06  331.86  355.34  328.02  329.29  369.99  341.73  355.58  359.95  0
1484  331.34  333.56  332.61  349.29  329.06  323.35  369.98  346.04  367.49  518.07  1
1485  340.74  335.79  340.20  351.34  329.88  318.02  360.06  349.18  347.71  604.94  1
1486  340.76  332.69  332.21  347.25  330.28  322.08  385.33  342.13  368.64  551.81  1
1487  339.22  331.53  342.53  352.92  332.21  322.40  372.72  355.50  367.25  455.88  1
1488  340.76  325.82  334.69  344.15  328.59  320.69  370.58  348.18  320.53  379.73  0
1489  338.75  330.86  337.53  351.89  328.52  321.75  370.12  345.03  346.37  769.37  1
1490  328.46  335.90  333.26  346.85  326.06  318.36  364.29  341.60  369.39  465.22  1
1491  335.95  331.93  337.49  343.84  328.27  325.65  372.14  348.28  355.59  466.19  1
1492  344.94  336.91  335.76  342.42  332.17  320.10  377.72  346.49  366.80  2553.88  1
1493  334.46  338.80  337.85  349.94  324.11  323.50  378.82  353.46  323.02  546.63  1
1494  340.71  335.33  342.98  339.07  329.27  333.16  370.25  349.11  530.61  599.07  1
1495  329.15  332.85  332.76  341.31  327.44  328.04  370.52  345.49  345.88  462.61  1
1496  335.20  329.11  331.66  351.15  325.95  320.21  378.70  346.54  462.31  353.18  1
1501  331.84  327.83  333.86  351.74  327.03  323.26  367.08  338.52  376.36  487.40  1
1502  335.44  329.26  335.14  340.94  328.94  320.97  369.20  346.80  355.82  3047.78  1
1503  329.56  329.50  336.06  350.69  328.51  313.49  377.29  352.45  371.62  392.61  0
1504  330.59  326.94  339.43  345.16  328.44  315.71  371.03  350.77  374.32  520.70  1
1505  332.56  338.11  339.50  348.16  333.04  320.75  373.03  343.23  364.06  466.47  1
1506  335.01  325.83  336.91  348.78  331.19  320.90  376.40  345.05  367.58  402.47  0
1510  323.50  327.11  328.79  321.56  325.61  314.50  336.68  329.69  317.96  330.83  0
1513  333.09  326.30  313.26  279.84  323.22  313.37  316.41  332.98  321.65  343.53  1
1515  326.79  326.62  326.73  328.48  316.90  319.28  347.27  340.05  324.05  346.15  0
1516  327.17  336.68  330.41  327.89  319.56  310.93  330.88  331.06  326.25  347.29  0
1518  347.02  323.60  319.62  319.45  333.50  332.69  355.45  345.81  323.29  353.41  0
1520  334.86  328.09  329.66  356.10  325.25  326.48  371.17  352.37  357.98  683.55  1
1521  304.72  323.16  333.67  341.31  314.01  310.68  345.58  335.39  334.63  329.34  0
1524  267.17  264.82  292.78  -307.75  243.33  274.01  257.84  266.62  268.51  266.38  1
1525  337.91  336.64  344.06  344.29  332.94  317.95  381.23  339.56  2617.87  400.01  1
1526  332.17  336.64  334.64  347.01  323.13  320.94  378.12  347.31  462.32  1176.15  1
1528  338.01  331.21  335.56  359.66  333.69  325.35  374.76  343.50  341.27  2613.36  1
1529  336.96  323.21  334.04  345.32  329.38  321.42  383.68  354.73  352.48  457.32  1
1530  338.06  333.84  341.30  343.07  332.05  326.49  368.04  349.85  399.44  504.57  1
1531  331.59  335.30  333.17  348.69  327.27  314.37  372.89  347.05  396.36  510.08  1
1532  341.91  338.32  335.26  352.69  325.63  326.33  375.88  346.38  364.09  509.21  1
1533  334.21  335.06  332.89  345.91  327.51  323.04  373.06  332.21  364.34  2360.90  1
1540  343.51  333.94  338.68  352.20  322.50  329.67  364.04  347.94  353.65  411.96  0
1541  335.06  332.71  340.16  349.24  324.52  324.16  341.78  340.62  362.42  543.48  1
1542  354.92  318.82  342.79  339.69  324.65  315.78  361.72  341.58  364.92  321.75  0
1543  331.62  335.72  330.08  346.82  322.36  321.67  355.88  339.29  341.26  366.91  0
1545  337.69  335.52  331.18  339.30  327.69  316.33  361.08  346.12  373.75  362.77  0
1546  330.15  332.93  344.86  343.61  324.02  324.08  373.65  346.97  338.89  902.70  1
1547  346.66  332.53  338.48  341.11  327.72  319.20  366.32  335.19  363.86  540.69  1
1548  334.62  326.99  338.32  357.16  322.55  323.23  365.50  340.73  376.41  484.72  1
