 ***Theta   Eprime   Sig_Born   Sig_Rad
   19.5717   3.0505   4.0780   4.6161
   19.5717   3.0595   4.0667   4.5966
   19.5717   3.0685   4.0553   4.5771
   19.5717   3.0775   4.0440   4.5578
   19.5717   3.0865   4.0327   4.5385
   19.5717   3.0955   4.0213   4.5192
   19.5717   3.1045   4.0100   4.5001
   19.5717   3.1135   3.9987   4.4810
   19.5717   3.1225   3.9873   4.4622
   19.5717   3.1315   3.9760   4.4432
   19.5717   3.1405   3.9647   4.4243
   19.5717   3.1495   3.9533   4.4054
   19.5717   3.1585   3.9420   4.3866
   19.5717   3.1675   3.9306   4.3679
   19.5717   3.1765   3.9192   4.3493
   19.5717   3.1855   3.9079   4.3308
   19.5717   3.1945   3.8965   4.3123
   19.5717   3.2035   3.8851   4.2939
   19.5717   3.2125   3.8737   4.2755
   19.5717   3.2215   3.8623   4.2560
   19.5717   3.2305   3.8509   4.2383
   19.5717   3.2395   3.8395   4.2208
   20.0717   2.9605   3.7201   4.2266
   20.0717   2.9695   3.7091   4.2077
   20.0717   2.9785   3.6980   4.1889
   20.0717   2.9875   3.6870   4.1701
   20.0717   2.9965   3.6759   4.1515
   20.0717   3.0055   3.6649   4.1329
   20.0717   3.0145   3.6539   4.1143
   20.0717   3.0235   3.6428   4.0959
   20.0717   3.0325   3.6318   4.0775
   20.0717   3.0415   3.6207   4.0592
   20.0717   3.0505   3.6097   4.0409
   20.0717   3.0595   3.5986   4.0229
   20.0717   3.0685   3.5876   4.0048
   20.0717   3.0775   3.5765   3.9867
   20.0717   3.0865   3.5655   3.9686
   20.0717   3.0955   3.5544   3.9507
   20.0717   3.1045   3.5434   3.9329
   20.0717   3.1135   3.5323   3.9151
   20.0717   3.1225   3.5212   3.8974
   20.0717   3.1315   3.5102   3.8798
   20.0717   3.1405   3.4991   3.8622
   20.0717   3.1495   3.4880   3.8447
   20.0717   3.1585   3.4769   3.8262
   20.0717   3.1675   3.4658   3.8093
   20.0717   3.1765   3.4547   3.7924
   20.0717   3.1855   3.4436   3.7751
   20.0717   3.1945   3.4325   3.7591
   20.0717   3.2035   3.4214   3.7419
   20.0717   3.2125   3.4103   3.7247
   20.0717   3.2215   3.3992   3.7076
   20.0717   3.2305   3.3881   3.6905
   20.0717   3.2395   3.3769   3.6734
   20.5717   2.9605   3.3011   3.7097
   20.5717   2.9695   3.2903   3.6921
   20.5717   2.9785   3.2796   3.6745
   20.5717   2.9875   3.2688   3.6571
   20.5717   2.9965   3.2581   3.6398
   20.5717   3.0055   3.2473   3.6225
   20.5717   3.0145   3.2366   3.6052
   20.5717   3.0235   3.2258   3.5879
   20.5717   3.0325   3.2151   3.5708
   20.5717   3.0415   3.2043   3.5537
   20.5717   3.0505   3.1936   3.5367
   20.5717   3.0595   3.1828   3.5198
   20.5717   3.0685   3.1721   3.5029
   20.5717   3.0775   3.1613   3.4861
   20.5717   3.0865   3.1505   3.4694
   20.5717   3.0955   3.1398   3.4519
   20.5717   3.1045   3.1290   3.4360
   20.5717   3.1135   3.1182   3.4195
   20.5717   3.1225   3.1075   3.4029
   20.5717   3.1315   3.0967   3.3875
   20.5717   3.1405   3.0859   3.3711
   20.5717   3.1495   3.0751   3.3547
   20.5717   3.1585   3.0643   3.3384
   20.5717   3.1675   3.0535   3.3221
   20.5717   3.1765   3.0427   3.3058
   20.5717   3.1855   3.0319   3.2896
   20.5717   3.1945   3.0211   3.2735
   20.5717   3.2035   3.0103   3.2573
   20.5717   3.2125   2.9995   3.2412
   20.5717   3.2215   2.9886   3.2252
   20.5717   3.2305   2.9778   3.2092
   20.5717   3.2395   2.9669   3.1933
   21.0717   2.9605   2.9277   3.2552
   21.0717   2.9695   2.9173   3.2388
   21.0717   2.9785   2.9069   3.2224
   21.0717   2.9875   2.8964   3.2062
   21.0717   2.9965   2.8860   3.1900
   21.0717   3.0055   2.8755   3.1738
   21.0717   3.0145   2.8651   3.1577
   21.0717   3.0235   2.8546   3.1417
   21.0717   3.0325   2.8442   3.1257
   21.0717   3.0415   2.8337   3.1095
   21.0717   3.0505   2.8233   3.0940
   21.0717   3.0595   2.8129   3.0792
   21.0717   3.0685   2.8024   3.0634
   21.0717   3.0775   2.7920   3.0477
   21.0717   3.0865   2.7815   3.0320
   21.0717   3.0955   2.7710   3.0164
   21.0717   3.1045   2.7606   3.0008
   21.0717   3.1135   2.7501   2.9853
   21.0717   3.1225   2.7396   2.9698
   21.0717   3.1315   2.7292   2.9536
   21.0717   3.1405   2.7187   2.9382
   21.0717   3.1495   2.7082   2.9230
   21.0717   3.1585   2.6977   2.9077
   21.0717   3.1675   2.6873   2.8925
   21.0717   3.1765   2.6768   2.8774
   21.0717   3.1855   2.6663   2.8628
   21.0717   3.1945   2.6558   2.8477
   21.0717   3.2035   2.6453   2.8327
   21.0717   3.2125   2.6348   2.8175
   21.0717   3.2215   2.6243   2.8026
   21.0717   3.2305   2.6137   2.7877
   21.0717   3.2395   2.6032   2.7728
